head_noun,head_noun_in_main_clause,clause_verb,filler_gap_dependency,restrictiveness,relativizer,head_noun_in_rc,relative_clause,relative_clause_length,rc_type,structure_pattern,file,sent,sentence_word_count,sentence_verb_count
teams,dobj,competed,3,restrictive,that,nsubj,that have regularly competed with the best teams in the country so she is used to seeing a high level of volleyball everyday,23,SRC,NP + Comp + Verb + NP2 (passive),input_texts/completed-websites-f25/bceagles.txt,She's a winner and has played on several club teams that have regularly competed with the best teams in the country so she is used to seeing a high level of volleyball everyday.,35,8
Award,nsubjpass,originated,1,restrictive,which,nsubj,which originated in 2005,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/bceagles.txt,"The Thacker Award, which originated in 2005, is awarded in honor of the late Jim and Pat Thacker of Charlotte, North Carolina.",26,3
lead,dobj,overcome,5,restrictive,which,dobj,which the Eagles could n't overcome,6,ORC,NP + Comp + NP2 + Verb,input_texts/completed-websites-f25/bceagles.txt,"Another run a few points after, gave the Tigers a 21-19 lead, which the Eagles couldn't overcome.",21,2
adjustments,dobj,help,3,restrictive,that,nsubj,that will certainly help contribute to her success at the collegiate level,12,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/bceagles.txt,Each time we watch her she seems to be making some adjustments to her play that will certainly help contribute to her success at the collegiate level.,28,5
kills,dobj,added,2,restrictive,which,pobj,eight of which were added in the first set,9,SRC,NP + Prep + Comp + Verb (passive/oblique),input_texts/completed-websites-f25/bceagles.txt,"Audrey Ross led the Eagles offense adding 11 kills, eight of which were added in the first set.",20,4
lead,dobj,gave,3,restrictive,zero,zero,they never gave up,4,ORC,zero relative,input_texts/completed-websites-f25/bceagles.txt,The lead traded off as the score tied four more times until a three point run by the Cardinals gave them a two point lead they never gave up.,30,5
Everyone,nsubj,took,1,restrictive,who,nsubj,who took part in the survey,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Everyone who took part in the survey is a member of the Center’s American Trends Panel (ATP), a group of people recruited through national, random sampling of residential addresses who have agreed to take surveys regularly.",43,6
people,nsubj,place,1,restrictive,who,nsubj,who place themselves on the left of the ideological spectrum,10,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"In nine surveyed countries, people who place themselves on the left of the ideological spectrum are more likely than those on the right to have a positive view of the UN.",33,3
countries,nsubj,exists,4,restrictive,where,advmod,where this ideological difference exists,5,Other,NP + Comp + NP2,input_texts/completed-websites-f25/pewresearch.txt,"The other eight countries where this ideological difference exists are Australia, Canada, France, Israel, the Netherlands, Poland, Turkey and the United Kingdom.",29,1
Everyone,nsubj,took,1,restrictive,who,nsubj,who took part in this survey,6,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Everyone who took part in this survey is a member of the Center’s American Trends Panel (ATP), a group of people recruited through national, random sampling of residential addresses who have agreed to take surveys regularly.",43,6
share,nsubj,hold,1,restrictive,who,nsubj,who hold this view,4,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"And while a large majority of Democrats (69%) continue to see the CDC favorably, the share who hold this view is 9 points lower than it was in 2024 (78%).",38,4
occupations,nsubj,represent,3,restrictive,where,advmod,where unauthorized immigrants represent a majority of workers,8,Other,NP + Comp + NP2,input_texts/completed-websites-f25/pewresearch.txt,There are no occupations where unauthorized immigrants represent a majority of workers.,13,2
statuses,dobj,protect,1,restrictive,that,nsubj,that protect them from deportation,5,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Many immigrants included in Pew Research Center’s estimate of “unauthorized” immigrants have specific immigration statuses that protect them from deportation.,25,3
Individuals,nsubj,applied,2,restrictive,who,nsubj,who have applied for asylum and are awaiting a ruling,10,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Individuals who have applied for asylum and are awaiting a ruling are not legal residents but cannot be deported until their asylum claim is adjudicated.,27,9
Immigrants,nsubj,eligible,4,restrictive,who,nsubj,who are not otherwise eligible for admission,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,Immigrants outside the United States who are not otherwise eligible for admission can apply for admission to the U.S. on a temporary basis “for urgent humanitarian reasons of significant public benefit.,33,2
people,nsubj,identify,3,restrictive,who,nsubj,who do not identify with any religion,7,SRC,NP + Comp + Verb + NP2,input_texts/completed-websites-f25/pewresearch.txt,"Around the world, many people who do not identify with any religion nevertheless hold a variety of spiritual and religious beliefs, including the belief that there is life after death, according to a Pew Research Center study of religiously unaffiliated adults in 22 countries.",48,6
